Month,diet
2004-01,100
2004-02,76
2004-03,69
2004-04,71
2004-05,73
2004-06,65
2004-07,62
2004-08,60
2004-09,57
2004-10,52
2004-11,50
2004-12,43
2005-01,64
2005-02,56
2005-03,58
2005-04,56
2005-05,60
2005-06,54
2005-07,53
2005-08,53
2005-09,46
2005-10,47
2005-11,44
2005-12,40
2006-01,64
2006-02,52
2006-03,52
2006-04,51
2006-05,50
2006-06,53
2006-07,52
2006-08,50
2006-09,46
2006-10,43
2006-11,43
2006-12,38
2007-01,58
2007-02,49
2007-03,51
2007-04,53
2007-05,49
2007-06,49
2007-07,49
2007-08,45
2007-09,45
2007-10,43
2007-11,40
2007-12,35
2008-01,54
2008-02,46
2008-03,46
2008-04,49
2008-05,45
2008-06,43
2008-07,44
2008-08,44
2008-09,42
2008-10,42
2008-11,41
2008-12,38
2009-01,53
2009-02,47
2009-03,49
2009-04,51
2009-05,48
2009-06,48
2009-07,47
2009-08,48
2009-09,45
2009-10,44
2009-11,42
2009-12,39
2010-01,58
2010-02,51
2010-03,51
2010-04,53
2010-05,51
2010-06,48
2010-07,49
2010-08,49
2010-09,47
2010-10,45
2010-11,44
2010-12,40
2011-01,60
2011-02,52
2011-03,55
2011-04,59
2011-05,58
2011-06,54
2011-07,55
2011-08,52
2011-09,51
2011-10,48
2011-11,48
2011-12,45
2012-01,64
2012-02,58
2012-03,57
2012-04,57
2012-05,54
2012-06,54
2012-07,55
2012-08,55
2012-09,52
2012-10,48
2012-11,45
2012-12,42
2013-01,65
2013-02,58
2013-03,58
2013-04,59
2013-05,56
2013-06,55
2013-07,54
2013-08,53
2013-09,52
2013-10,48
2013-11,46
2013-12,42
2014-01,62
2014-02,54
2014-03,54
2014-04,54
2014-05,52
2014-06,50
2014-07,48
2014-08,47
2014-09,47
2014-10,44
2014-11,43
2014-12,40
2015-01,56
2015-02,48
2015-03,52
2015-04,51
2015-05,49
2015-06,49
2015-07,46
2015-08,47
2015-09,44
2015-10,42
2015-11,39
2015-12,37
2016-01,54
2016-02,48
2016-03,48
2016-04,50
2016-05,48
2016-06,44
2016-07,45
2016-08,45
2016-09,43
2016-10,41
2016-11,39
2016-12,37
2017-01,55
2017-02,57
2017-03,52
2017-04,50
2017-05,49
2017-06,48
2017-07,51
2017-08,46
2017-09,43
2017-10,44
2017-11,43
2017-12,39
2018-01,58
2018-02,54
2018-03,55
2018-04,57
2018-05,55
2018-06,52
2018-07,53
2018-08,52
2018-09,48
2018-10,46
2018-11,44
2018-12,42
2019-01,64
2019-02,53
2019-03,52
2019-04,53
2019-05,47
2019-06,48
2019-07,47
